payload,payload_len,alpha,non_alpha,attack_feature,label
c/%20caridad%20s/n,14,100.0,0.0,0.0,0
campello%2C%20el,12,100.0,0.0,0.0,0
40184,5,100.0,0.0,0.0,0
1.44243E+15,16,68.75,31.25,45.45454545454545,0
nue37,5,100.0,0.0,0.0,0
nuda%20drudes,11,100.0,0.0,0.0,0
tufts3%40joll.rs,14,100.0,0.0,0.0,0
22997112x,9,100.0,0.0,0.0,0
c/%20del%20ferrocarril%2C%20152%2C,24,100.0,0.0,0.0,0
arenas%20de%20san%20juan,18,100.0,0.0,0.0,0
19245,5,100.0,0.0,0.0,0
2.07077E+15,16,68.75,31.25,45.45454545454545,0
fennell,7,100.0,0.0,0.0,0
d50allecido,11,100.0,0.0,0.0,0
1902,4,100.0,0.0,0.0,0
genny,5,100.0,0.0,0.0,0
03248i367ca,11,100.0,0.0,0.0,0
ulldemol%20bujeque,16,100.0,0.0,0.0,0
grubel8%40albeiteria.kw,21,100.0,0.0,0.0,0
83497200r,9,100.0,0.0,0.0,0
plaa%20caudillo%2060,16,100.0,0.0,0.0,0
martn%20de%20yeltes,15,100.0,0.0,0.0,0
1.76947E+15,16,68.75,31.25,45.45454545454545,0
maala8,6,100.0,0.0,0.0,0
cascabela,9,100.0,0.0,0.0,0
ludolfo,7,100.0,0.0,0.0,0
peuela%20sains,12,100.0,0.0,0.0,0
snerd%40bwds.tj,13,100.0,0.0,0.0,0
15365381r,9,100.0,0.0,0.0,0
c/%2057%2015%2C%209g,12,100.0,0.0,0.0,0
regueras%20de%20arriba,18,100.0,0.0,0.0,0
8281,5,80.0,20.0,25.0,0
empeltre,8,100.0,0.0,0.0,0
7497,4,100.0,0.0,0.0,0
mckenney,8,100.0,0.0,0.0,0
estantalar,10,100.0,0.0,0.0,0
poma%20gozalbo,12,100.0,0.0,0.0,0
loti%40ajuntamentbarcelona2-0.is,30,100.0,0.0,0.0,0
21924971z,9,100.0,0.0,0.0,0
c/%20huertas%20altas%2C%20114,21,100.0,0.0,0.0,0
sequera%20de%20haza%2C%20la,19,100.0,0.0,0.0,0
25260,5,100.0,0.0,0.0,0
8.75573E+15,16,68.75,31.25,45.45454545454545,0
kindra,6,100.0,0.0,0.0,0
h9655,5,100.0,0.0,0.0,0
josias,6,100.0,0.0,0.0,0
fonoll%20zurko,12,100.0,0.0,0.0,0
dunlap-leaud%40videospornocaseros.ye,34,100.0,0.0,0.0,0
07408152j,9,100.0,0.0,0.0,0
c/%20aira%20de%20villaescusa%20199%2C%201f,30,100.0,0.0,0.0,0
pobla%20de%20montorns%2C%20la,21,100.0,0.0,0.0,0
9530,5,80.0,20.0,25.0,0
4.19037E+15,16,68.75,31.25,45.45454545454545,0
kong-que,8,100.0,0.0,0.0,0
5x8r0r,6,100.0,0.0,0.0,0
5599,4,100.0,0.0,0.0,0
goggin,6,100.0,0.0,0.0,0
indocto,7,100.0,0.0,0.0,0
serneo,6,100.0,0.0,0.0,0
plebs%20cadevall,14,100.0,0.0,0.0,0
marieau8%40clementelr.nz,22,100.0,0.0,0.0,0
24314757p,9,100.0,0.0,0.0,0
cueva%20de%20montesinos%2080%2011-g,27,100.0,0.0,0.0,0
4742,5,80.0,20.0,25.0,0
3.36323E+15,16,68.75,31.25,45.45454545454545,0
xiangsen,8,100.0,0.0,0.0,0
correccionalmente,17,100.0,0.0,0.0,0
cleofs,6,100.0,0.0,0.0,0
01633578a,9,100.0,0.0,0.0,0
europa%2C%2058%202-f,14,100.0,0.0,0.0,0
21388,5,100.0,0.0,0.0,0
5.56221E+15,16,68.75,31.25,45.45454545454545,0
vasilopo,8,100.0,0.0,0.0,0
ladronzue_lo,12,100.0,0.0,0.0,0
4377,4,100.0,0.0,0.0,0
elbeze,6,100.0,0.0,0.0,0
cachapera,9,100.0,0.0,0.0,0
molledo%20basagaa,15,100.0,0.0,0.0,0
hibbert.bupp%40hojadecalculo.com.mil,34,100.0,0.0,0.0,0
56163821y,9,100.0,0.0,0.0,0
carretera%20de%20las%20ermitas%20188,28,100.0,0.0,0.0,0
zarratn,7,100.0,0.0,0.0,0
6.34123E+15,16,68.75,31.25,45.45454545454545,0
lauriaul,8,100.0,0.0,0.0,0
er3t3e1,7,100.0,0.0,0.0,0
atanaspulos,11,100.0,0.0,0.0,0
nype.shafer%40canovash.bv,23,100.0,0.0,0.0,0
38355013y,9,100.0,0.0,0.0,0
plaa%20catalunya%20124%2C%205-b,23,100.0,0.0,0.0,0
merindad%20de%20ro%20ubierna,22,100.0,0.0,0.0,0
19312,5,100.0,0.0,0.0,0
1.43759E+15,16,68.75,31.25,45.45454545454545,0
robieux,7,100.0,0.0,0.0,0
cuatriduana,11,100.0,0.0,0.0,0
1565,4,100.0,0.0,0.0,0
darby,5,100.0,0.0,0.0,0
ti7o,4,100.0,0.0,0.0,0
folch%20pintado,13,100.0,0.0,0.0,0
thalasso.chappell%40titulosoficiales.jp,37,100.0,0.0,0.0,0
00474767r,9,100.0,0.0,0.0,0
manuel%20pereira%20s/n%2012%3Fa,23,100.0,0.0,0.0,0
3.50022E+14,16,68.75,31.25,45.45454545454545,0
esther,6,100.0,0.0,0.0,0
labranto,8,100.0,0.0,0.0,0
julisa,6,100.0,0.0,0.0,0
pelez%20bastus,12,100.0,0.0,0.0,0
pianka%40noviasteresapalacios.mc,30,100.0,0.0,0.0,0
03266253t,9,100.0,0.0,0.0,0
c/%20doctor%20ferran%2C%20193,21,100.0,0.0,0.0,0
38787,5,100.0,0.0,0.0,0
9.92218E+14,16,68.75,31.25,45.45454545454545,0
fitzgera,8,100.0,0.0,0.0,0
13g0e7at42a,11,100.0,0.0,0.0,0
5788,4,100.0,0.0,0.0,0
kinnie,6,100.0,0.0,0.0,0
ret4ne3or,9,100.0,0.0,0.0,0
graziana,8,100.0,0.0,0.0,0
vettenranta%40infopromo.az,24,100.0,0.0,0.0,0
el%20caaveral%20130%2C%205-f,20,100.0,0.0,0.0,0
16648,5,100.0,0.0,0.0,0
9.13956E+15,16,68.75,31.25,45.45454545454545,0
valina,6,100.0,0.0,0.0,0
07u8e37ia,9,100.0,0.0,0.0,0
yoselie,7,100.0,0.0,0.0,0
pool%20echenique,14,100.0,0.0,0.0,0
07901950r,9,100.0,0.0,0.0,0
calle%20holanda%20146%2C,18,100.0,0.0,0.0,0
tres%20villas%2C%20las,16,100.0,0.0,0.0,0
39638,5,100.0,0.0,0.0,0
5.42674E+15,16,68.75,31.25,45.45454545454545,0
patrica0,8,100.0,0.0,0.0,0
portal,6,100.0,0.0,0.0,0
mankowsk,8,100.0,0.0,0.0,0
4a39c44a,8,100.0,0.0,0.0,0
marino,6,100.0,0.0,0.0,0
bow%40whitepearlresort.pl,23,100.0,0.0,0.0,0
01472954b,9,100.0,0.0,0.0,0
c/%20garcia%20morente%20129,21,100.0,0.0,0.0,0
adradas,7,100.0,0.0,0.0,0
18417,5,100.0,0.0,0.0,0
2.53384E+15,16,68.75,31.25,45.45454545454545,0
smelters,8,100.0,0.0,0.0,0
tamboreo,8,100.0,0.0,0.0,0
natn,4,100.0,0.0,0.0,0
lamas,5,100.0,0.0,0.0,0
sipperly.nakamoto%40ceramicasmio.ht,33,100.0,0.0,0.0,0
68201502q,9,100.0,0.0,0.0,0
carretera%20200%20hasta%20km.%201%20barra%20de%20mio%20175,42,100.0,0.0,0.0,0
manzanilla,10,100.0,0.0,0.0,0
36680,5,100.0,0.0,0.0,0
1.18171E+15,16,68.75,31.25,45.45454545454545,0
jalaie,6,100.0,0.0,0.0,0
%2Ar6t58a,7,100.0,0.0,0.0,0
1613,4,100.0,0.0,0.0,0
joelly,6,100.0,0.0,0.0,0
r8cid0va,8,100.0,0.0,0.0,0
flaviano,8,100.0,0.0,0.0,0
oshea_knowles%40tiaherminia.gh,28,100.0,0.0,0.0,0
14977979b,9,100.0,0.0,0.0,0
calle%20del%20llenguadoc%20s/n%2C%206e,28,100.0,0.0,0.0,0
pujalt,6,100.0,0.0,0.0,0
45183,5,100.0,0.0,0.0,0
2.69448E+14,16,68.75,31.25,45.45454545454545,0
kristel,7,100.0,0.0,0.0,0
d2s7sp79ro,10,100.0,0.0,0.0,0
reiji,5,100.0,0.0,0.0,0
estolano%20boget,14,100.0,0.0,0.0,0
